"Street #","Street Name","Street suffix","Unit #","ZIP","SAM ID","Address"
"95B","Thirteenth","Street",NA,2129,NA,"95B Thirteenth Street #NA 02129"
"97A","Thirteenth","Street",NA,2129,NA,"97A Thirteenth Street #NA 02129"
"97B","Thirteenth","Street",NA,2129,NA,"97B Thirteenth Street #NA 02129"
"99A","Thirteenth","Street",NA,2129,NA,"99A Thirteenth Street #NA 02129"
"99B","Thirteenth","Street",NA,2129,NA,"99B Thirteenth Street #NA 02129"
"21","Warren","Street",NA,2139,NA,"21 Warren Street #NA 02139"
"23B","Warren","Street",NA,2129,NA,"23B Warren Street #NA 02129"
"453","Washington","Street","5E",2111,NA,"453 Washington Street #5E 02111"
"1200","Washington","Street","108/110",2118,NA,"1200 Washington Street #108/110 02118"
"1200","Washington","Street","109/111",2118,NA,"1200 Washington Street #109/111 02118"
"1200","Washington","Street","112/114",2118,NA,"1200 Washington Street #112/114 02118"
"1200","Washington","Street","117/119",2118,NA,"1200 Washington Street #117/119 02118"
